year,lat,lon,onset_day
1999,52.75,348.5,32.0
1999,52.75,348.75,25.0
1999,52.75,349.0,25.0
1999,52.75,349.25,208.0
1999,52.75,349.5,200.0
1999,52.75,349.75,184.0
1999,52.75,350.0,200.0
1999,52.75,350.25,208.0
1999,52.75,350.5,192.0
1999,52.75,354.0,152.0
1999,52.75,354.25,152.0
1999,52.75,354.5,232.0
1999,52.75,354.75,208.0
1999,52.75,355.0,184.0
1999,52.75,355.25,184.0
1999,52.75,355.5,184.0
1999,52.75,355.75,25.0
1999,53.0,345.0,64.0
1999,53.0,345.25,25.0
1999,53.0,345.5,25.0
1999,53.0,345.75,40.0
1999,53.0,346.0,40.0
1999,53.0,346.25,48.0
1999,53.0,346.5,25.0
1999,53.0,346.75,25.0
1999,53.0,347.0,48.0
1999,53.0,347.25,200.0
1999,53.0,347.5,96.0
1999,53.0,347.75,96.0
1999,53.0,348.0,25.0
1999,53.0,348.25,96.0
1999,53.0,348.5,25.0
1999,53.0,348.75,25.0
1999,53.0,349.0,64.0
1999,53.0,349.25,208.0
1999,53.0,349.5,208.0
1999,53.0,349.75,184.0
1999,53.0,350.0,184.0
1999,53.0,350.25,184.0
1999,53.0,350.5,184.0
1999,53.0,354.0,232.0
1999,53.0,354.25,232.0
1999,53.0,354.5,208.0
1999,53.0,354.75,232.0
1999,53.0,355.0,184.0
1999,53.0,355.25,216.0
1999,53.0,355.5,208.0
1999,53.25,345.0,64.0
1999,53.25,345.25,72.0
1999,53.25,345.5,64.0
1999,53.25,345.75,32.0
1999,53.25,346.0,40.0
1999,53.25,346.25,25.0
1999,53.25,346.5,64.0
1999,53.25,346.75,104.0
1999,53.25,347.0,25.0
1999,53.25,347.25,25.0
1999,53.25,347.5,40.0
1999,53.25,347.75,96.0
1999,53.25,348.0,25.0
1999,53.25,348.25,48.0
1999,53.25,348.5,312.0
1999,53.25,348.75,352.0
1999,53.25,349.0,72.0
1999,53.25,349.25,208.0
1999,53.25,349.5,216.0
1999,53.25,349.75,48.0
1999,53.25,350.0,48.0
1999,53.25,350.25,176.0
1999,53.25,350.5,224.0
1999,53.25,350.75,120.0
1999,53.25,354.0,232.0
1999,53.25,354.25,152.0
1999,53.25,354.5,152.0
1999,53.25,354.75,144.0
1999,53.25,355.0,240.0
1999,53.25,355.25,152.0
1999,53.25,355.5,216.0
1999,53.25,356.0,184.0
1999,53.25,356.25,176.0
1999,53.25,356.5,200.0
1999,53.5,345.0,56.0
1999,53.5,345.25,64.0
1999,53.5,345.5,25.0
1999,53.5,345.75,96.0
1999,53.5,346.0,64.0
1999,53.5,346.25,40.0
1999,53.5,346.5,216.0
1999,53.5,346.75,48.0
1999,53.5,347.0,25.0
1999,53.5,347.25,25.0
1999,53.5,347.5,25.0
1999,53.5,347.75,96.0
1999,53.5,348.0,96.0
1999,53.5,348.25,96.0
1999,53.5,348.5,25.0
1999,53.5,348.75,48.0
1999,53.5,349.0,32.0
1999,53.5,349.25,208.0
1999,53.5,349.5,48.0
1999,53.5,349.75,48.0
1999,53.5,354.0,288.0
1999,53.5,354.25,144.0
1999,53.5,354.5,144.0
1999,53.5,354.75,56.0
1999,53.5,355.0,152.0
1999,53.5,355.25,48.0
1999,53.5,355.5,208.0
1999,53.5,355.75,184.0
1999,53.5,356.0,240.0
1999,53.5,356.25,240.0
1999,53.5,356.5,296.0
1999,53.5,356.75,216.0
1999,53.75,345.0,25.0
1999,53.75,345.25,25.0
1999,53.75,345.5,25.0
1999,53.75,345.75,25.0
1999,53.75,346.0,80.0
1999,53.75,346.25,72.0
1999,53.75,346.5,80.0
1999,53.75,346.75,32.0
1999,53.75,347.0,322.0
1999,53.75,347.25,48.0
1999,53.75,347.5,322.0
1999,53.75,347.75,64.0
1999,53.75,348.0,64.0
1999,53.75,348.25,32.0
1999,53.75,348.5,32.0
1999,53.75,348.75,32.0
1999,53.75,349.0,56.0
1999,53.75,349.25,80.0
1999,53.75,349.5,48.0
1999,53.75,349.75,216.0
1999,53.75,350.0,48.0
1999,53.75,354.0,232.0
1999,53.75,354.25,128.0
1999,53.75,354.5,128.0
1999,53.75,354.75,192.0
1999,53.75,355.0,32.0
1999,53.75,355.25,72.0
1999,53.75,355.5,160.0
1999,53.75,355.75,168.0
1999,53.75,356.0,240.0
1999,53.75,356.25,248.0
1999,53.75,356.5,256.0
1999,53.75,356.75,248.0
1999,53.75,357.0,200.0
1999,54.0,345.0,25.0
1999,54.0,345.25,25.0
1999,54.0,345.5,25.0
1999,54.0,345.75,32.0
1999,54.0,346.0,48.0
1999,54.0,346.25,32.0
1999,54.0,346.5,32.0
1999,54.0,346.75,72.0
1999,54.0,347.0,32.0
1999,54.0,347.25,64.0
1999,54.0,347.5,32.0
1999,54.0,347.75,32.0
1999,54.0,348.0,32.0
1999,54.0,348.25,64.0
1999,54.0,348.5,32.0
1999,54.0,348.75,48.0
1999,54.0,349.0,48.0
1999,54.0,349.25,32.0
1999,54.0,349.5,32.0
1999,54.0,349.75,200.0
1999,54.0,350.0,208.0
1999,54.0,354.0,224.0
1999,54.0,354.25,168.0
1999,54.0,354.5,136.0
1999,54.0,354.75,192.0
1999,54.0,355.0,152.0
1999,54.0,355.25,160.0
1999,54.0,355.5,240.0
1999,54.0,355.75,240.0
1999,54.0,356.0,240.0
1999,54.0,356.25,256.0
1999,54.0,356.5,176.0
1999,54.0,356.75,232.0
1999,54.0,357.0,248.0
1999,54.25,345.0,48.0
1999,54.25,345.25,40.0
1999,54.25,345.5,32.0
1999,54.25,345.75,40.0
1999,54.25,346.0,56.0
1999,54.25,346.25,48.0
1999,54.25,346.5,25.0
1999,54.25,346.75,48.0
1999,54.25,347.0,25.0
1999,54.25,347.25,56.0
1999,54.25,347.5,80.0
1999,54.25,347.75,104.0
1999,54.25,348.0,32.0
1999,54.25,348.25,32.0
1999,54.25,348.5,32.0
1999,54.25,348.75,104.0
1999,54.25,349.0,104.0
1999,54.25,349.25,32.0
1999,54.25,349.5,48.0
1999,54.25,349.75,144.0
1999,54.25,350.0,25.0
1999,54.25,350.25,208.0
1999,54.25,350.5,288.0
1999,54.25,350.75,152.0
1999,54.25,351.0,216.0
1999,54.25,354.25,168.0
1999,54.25,354.5,144.0
1999,54.25,354.75,144.0
1999,54.25,355.0,144.0
1999,54.25,355.25,240.0
1999,54.25,355.75,248.0
1999,54.25,356.0,200.0
1999,54.25,356.25,200.0
1999,54.25,356.5,184.0
1999,54.25,356.75,120.0
1999,54.25,359.75,296.0
1999,54.5,345.0,104.0
1999,54.5,345.25,25.0
1999,54.5,345.5,25.0
1999,54.5,345.75,25.0
1999,54.5,346.0,72.0
1999,54.5,346.25,48.0
1999,54.5,346.5,48.0
1999,54.5,346.75,32.0
1999,54.5,347.0,80.0
1999,54.5,347.25,48.0
1999,54.5,347.5,32.0
1999,54.5,347.75,32.0
1999,54.5,348.0,32.0
1999,54.5,348.25,104.0
1999,54.5,348.5,32.0
1999,54.5,348.75,64.0
1999,54.5,349.0,32.0
1999,54.5,349.25,104.0
1999,54.5,349.5,32.0
1999,54.5,349.75,224.0
1999,54.5,350.0,104.0
1999,54.5,350.25,104.0
1999,54.5,350.5,144.0
1999,54.5,350.75,296.0
1999,54.5,351.0,296.0
1999,54.5,351.25,224.0
1999,54.5,351.5,224.0
1999,54.5,354.5,160.0
1999,54.5,354.75,160.0
1999,54.5,355.0,160.0
1999,54.5,355.25,232.0
1999,54.5,355.5,304.0
1999,54.5,355.75,208.0
1999,54.5,356.0,200.0
1999,54.5,356.25,192.0
1999,54.5,356.5,120.0
1999,54.5,359.25,184.0
1999,54.5,359.5,192.0
1999,54.5,359.75,200.0
1999,54.75,345.0,32.0
1999,54.75,345.25,80.0
1999,54.75,345.5,56.0
1999,54.75,345.75,104.0
1999,54.75,346.0,104.0
1999,54.75,346.25,104.0
1999,54.75,346.5,32.0
1999,54.75,346.75,32.0
1999,54.75,347.0,104.0
1999,54.75,347.25,104.0
1999,54.75,347.5,104.0
1999,54.75,347.75,32.0
1999,54.75,348.0,48.0
1999,54.75,348.25,104.0
1999,54.75,348.5,48.0
1999,54.75,348.75,32.0
1999,54.75,349.0,40.0
1999,54.75,349.25,32.0
1999,54.75,349.5,32.0
1999,54.75,349.75,32.0
1999,54.75,350.0,32.0
1999,54.75,350.25,32.0
1999,54.75,350.5,104.0
1999,54.75,350.75,104.0
1999,54.75,351.0,184.0
1999,54.75,351.25,304.0
1999,54.75,354.25,160.0
1999,54.75,354.5,160.0
1999,54.75,354.75,152.0
1999,54.75,355.0,160.0
1999,54.75,355.25,304.0
1999,54.75,355.5,240.0
1999,54.75,355.75,240.0
1999,54.75,356.0,296.0
1999,54.75,356.25,296.0
1999,54.75,356.5,240.0
1999,54.75,358.75,152.0
1999,54.75,359.0,224.0
1999,54.75,359.25,216.0
1999,54.75,359.5,216.0
1999,54.75,359.75,216.0
1999,55.0,345.0,64.0
1999,55.0,345.25,96.0
1999,55.0,345.5,104.0
1999,55.0,345.75,104.0
1999,55.0,346.0,104.0
1999,55.0,346.25,104.0
1999,55.0,346.5,64.0
1999,55.0,346.75,32.0
1999,55.0,347.0,32.0
1999,55.0,347.25,104.0
1999,55.0,347.5,32.0
1999,55.0,347.75,32.0
1999,55.0,348.0,32.0
1999,55.0,348.25,72.0
1999,55.0,348.5,25.0
1999,55.0,348.75,25.0
1999,55.0,349.0,32.0
1999,55.0,349.25,32.0
1999,55.0,349.5,104.0
1999,55.0,349.75,32.0
1999,55.0,350.0,56.0
1999,55.0,350.25,40.0
1999,55.0,350.5,25.0
1999,55.0,350.75,80.0
1999,55.0,351.0,80.0
1999,55.0,351.25,312.0
1999,55.0,351.5,104.0
1999,55.0,354.25,304.0
1999,55.0,354.5,304.0
1999,55.0,354.75,136.0
1999,55.0,358.75,216.0
1999,55.0,359.0,216.0
1999,55.0,359.25,216.0
1999,55.0,359.5,208.0
1999,55.0,359.75,208.0
1999,55.25,345.0,104.0
1999,55.25,345.25,48.0
1999,55.25,345.5,104.0
1999,55.25,345.75,104.0
1999,55.25,346.0,104.0
1999,55.25,346.25,72.0
1999,55.25,346.5,32.0
1999,55.25,346.75,32.0
1999,55.25,347.0,32.0
1999,55.25,347.25,32.0
1999,55.25,347.5,104.0
1999,55.25,347.75,32.0
1999,55.25,348.0,80.0
1999,55.25,348.25,80.0
1999,55.25,348.5,32.0
1999,55.25,348.75,104.0
1999,55.25,349.0,104.0
1999,55.25,349.25,48.0
1999,55.25,349.5,56.0
1999,55.25,349.75,104.0
1999,55.25,350.0,104.0
1999,55.25,350.25,72.0
1999,55.25,350.5,80.0
1999,55.25,350.75,48.0
1999,55.25,351.0,40.0
1999,55.25,351.25,80.0
1999,55.25,351.5,40.0
1999,55.25,351.75,288.0
1999,55.25,352.0,104.0
1999,55.25,352.25,248.0
1999,55.25,353.0,304.0
1999,55.25,353.25,40.0
1999,55.25,353.5,224.0
1999,55.25,353.75,208.0
1999,55.25,354.0,208.0
1999,55.25,354.25,304.0
1999,55.25,354.5,200.0
1999,55.25,354.75,200.0
1999,55.25,355.0,208.0
1999,55.25,358.5,192.0
1999,55.25,358.75,224.0
1999,55.25,359.0,184.0
1999,55.25,359.25,224.0
1999,55.25,359.5,224.0
1999,55.25,359.75,216.0
1999,55.5,345.0,104.0
1999,55.5,345.25,104.0
1999,55.5,345.5,104.0
1999,55.5,345.75,104.0
1999,55.5,346.0,104.0
1999,55.5,346.25,104.0
1999,55.5,346.5,104.0
1999,55.5,346.75,104.0
1999,55.5,347.0,104.0
1999,55.5,347.25,104.0
1999,55.5,347.5,104.0
1999,55.5,347.75,104.0
1999,55.5,348.0,80.0
1999,55.5,348.25,104.0
1999,55.5,348.5,104.0
1999,55.5,348.75,104.0
1999,55.5,349.0,104.0
1999,55.5,349.25,48.0
1999,55.5,349.5,104.0
1999,55.5,349.75,104.0
1999,55.5,350.0,104.0
1999,55.5,350.25,80.0
1999,55.5,350.5,104.0
1999,55.5,350.75,80.0
1999,55.5,351.0,40.0
1999,55.5,351.25,40.0
1999,55.5,351.5,72.0
1999,55.5,351.75,72.0
1999,55.5,352.0,40.0
1999,55.5,352.25,288.0
1999,55.5,352.5,144.0
1999,55.5,352.75,304.0
1999,55.5,353.0,296.0
1999,55.5,353.25,304.0
1999,55.5,353.5,232.0
1999,55.5,353.75,232.0
1999,55.5,354.0,280.0
1999,55.5,354.25,144.0
1999,55.5,354.5,240.0
1999,55.5,354.75,232.0
1999,55.5,355.0,240.0
1999,55.5,355.25,296.0
1999,55.5,358.5,216.0
1999,55.5,358.75,176.0
1999,55.5,359.0,224.0
1999,55.5,359.25,224.0
1999,55.5,359.5,224.0
1999,55.5,359.75,224.0
1999,55.75,345.0,40.0
