Survey_name,Station_number,Prime_number,DateTime,Latitude,Longitude,Sample_depth,Smartbuoy,TChlA_ug/L,TChl_ug/L,AP_ug/L,Degrad_products_ug/L,TP_ug/L,Fuc_ug/L,Per_ug/L,Hex_ug/L,But_ug/L,Allo_ug/L,Chlb_ug/L,Zea_ug/L
CEND16_22,64,27,26/10/2022 00:27,49.671,-4.858,6.73,No data,0.839921286,1.093889612,0.781589992,0.094315839,1.621511278,0.119077029,0.024275036,0.096784929,0.01488258,0.059028382,0.112794807,0.0081544
CEND16_22,65,22,26/10/2022 02:49,49.677,-4.329,8.33,No data,0.609400472,0.79299806,0.573732604,0.106522406,1.183133076,0.077762312,0.0138417,0.056317623,0.008487283,0.045997117,0.119622356,0.006580332
CEND16_22,75,28,27/10/2022 00:50,49.836,-5.105,5.11,No data,0.674197337,0.831389435,0.597486522,0.086557951,1.271683859,0.105803292,0.020528418,0.080340726,0.015149926,0.04647152,0.076018457,0.00556104
CEND16_22,80,23,27/10/2022 04:56,50.171,-4.588,4.38,No data,1.023275606,1.282616277,0.834996578,0.132156437,1.858272184,0.240589331,0.017337676,0.064871348,0.011986847,0.029375283,0.144289537,0.00515249
CEND16_22,88,32,28/10/2022 02:27,49.824,-5.616,17.03,No data,3.253866021,4.036356123,3.047289135,0.357332307,6.301155157,0.628243715,0.140227996,0.528334459,0.094928391,0.190099889,0.269982848,0.027200086
CEND15_23,7,69,29/09/2023 22:36,51.351,-3.752,4.7,No data,0.64,0.767,0.5,0,1.14,0.206,0.027,0.005,0.007,0.033,0.05,0.004
CEND15_23,8,64,30/09/2023 00:38,51.31,-4.167,6.83,No data,0.793,0.955,0.604,0,1.397,0.235,0.026,0.014,0.008,0.043,0.071,0.004
CEND15_23,26,60,1/10/2023 22:16,51.219,-5.033,5.18,No data,0.923,1.179,0.728,0.052,1.651,0.158,0.02,0.054,0.011,0.074,0.136,0.01
CEND15_23,41,150,4/10/2023 0:45,52.752,-4.937,1.71,No data,0.625,0.789,0.519,0.046,1.144,0.128,0.009,0.029,0.007,0.047,0.089,0.007
CEND15_23,44,146,4/10/2023 5:11,52.297,-4.73,6.43,No data,0.882,1.09,0.653,0.1,1.535,0.21,0.008,0.034,0.006,0.051,0.107,0.009
CEND15_23,55,147,4/10/2023 23:33,52.473,-5.233,5.6,No data,0.635,0.8,0.504,0.054,1.139,0.128,0.008,0.029,0.006,0.046,0.089,0.007
CEND15_23,60,142,5/10/2023 9:28,51.918,-5.804,8.95,No data,0.61,0.765,0.481,0.023,1.091,0.115,0.007,0.034,0.006,0.048,0.084,0.013
